# prediction,class
4.759114093574459137e-01,1.000000000000000000e+00
2.217640224526230275e-01,0.000000000000000000e+00
4.901790970502413192e-01,1.000000000000000000e+00
3.190462547889261202e-01,1.000000000000000000e+00
4.035410771794994966e-01,1.000000000000000000e+00
4.181649045978880208e-01,1.000000000000000000e+00
2.920356568639311812e-01,1.000000000000000000e+00
5.062417466446158532e-01,1.000000000000000000e+00
4.293223874674002571e-01,1.000000000000000000e+00
6.662438824906680157e-01,1.000000000000000000e+00
3.532471817892017807e-01,1.000000000000000000e+00
5.521653382988241932e-01,1.000000000000000000e+00
4.720279643106984890e-01,1.000000000000000000e+00
5.373138650156569218e-01,1.000000000000000000e+00
5.370384150624031294e-01,1.000000000000000000e+00
3.900717662523562890e-01,1.000000000000000000e+00
5.910547391168347042e-01,1.000000000000000000e+00
4.292619302726528030e-01,1.000000000000000000e+00
5.517265108788697026e-01,1.000000000000000000e+00
4.927616775232720459e-01,1.000000000000000000e+00
5.270692942839394490e-01,1.000000000000000000e+00
5.518814081709259023e-01,1.000000000000000000e+00
5.427122397850804303e-01,1.000000000000000000e+00
5.055295464903197811e-01,1.000000000000000000e+00
5.793961694637621562e-01,1.000000000000000000e+00
5.356614182054070250e-01,1.000000000000000000e+00
4.777759746985198452e-01,1.000000000000000000e+00
5.299683477956541600e-01,1.000000000000000000e+00
4.421645843465781267e-01,1.000000000000000000e+00
4.595044405417076927e-01,1.000000000000000000e+00
4.630452273597877033e-01,1.000000000000000000e+00
5.212578881369605011e-01,1.000000000000000000e+00
4.656941721767495768e-01,1.000000000000000000e+00
4.406133561865386294e-01,1.000000000000000000e+00
5.499300287111822394e-01,1.000000000000000000e+00
2.310476893466704429e-01,0.000000000000000000e+00
6.085036661084463061e-01,1.000000000000000000e+00
9.720965189421527652e-01,1.000000000000000000e+00
3.740664669157409694e-01,1.000000000000000000e+00
5.688747562301522676e-01,1.000000000000000000e+00
4.546825366399666057e-01,1.000000000000000000e+00
5.726577758550502883e-01,1.000000000000000000e+00
5.538945696934362006e-01,1.000000000000000000e+00
4.598228967283803925e-01,1.000000000000000000e+00
5.735080134718687495e-01,1.000000000000000000e+00
4.253190801545053690e-01,1.000000000000000000e+00
4.768197225761661162e-01,1.000000000000000000e+00
4.110052412266957944e-01,1.000000000000000000e+00
2.654674577193539831e-01,0.000000000000000000e+00
4.032818691246259357e-01,1.000000000000000000e+00
4.776160688369972540e-01,1.000000000000000000e+00
5.366637226688685258e-01,1.000000000000000000e+00
2.452083975102868629e-01,0.000000000000000000e+00
4.716578250139652484e-01,1.000000000000000000e+00
4.600958658104288279e-01,1.000000000000000000e+00
5.801702029233996027e-01,1.000000000000000000e+00
5.212434947165683896e-01,1.000000000000000000e+00
5.277495174099526842e-01,1.000000000000000000e+00
4.968145970223313279e-01,1.000000000000000000e+00
2.842526711249717675e-01,1.000000000000000000e+00
4.316040300561810872e-01,1.000000000000000000e+00
5.444198179101117363e-01,1.000000000000000000e+00
4.244155722819475951e-01,1.000000000000000000e+00
4.977566073077331898e-01,1.000000000000000000e+00
4.242065551763936071e-01,1.000000000000000000e+00
5.682462889389412464e-01,1.000000000000000000e+00
2.323545121019385540e-01,0.000000000000000000e+00
