age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
46,58,15,13,42,62,30,77,40,0,0,48,74
68,58,14,10,11,0,75,77,19,0,0,40,74
64,65,6,5,66,72,47,77,40,0,0,45,74
65,65,13,11,42,17,30,77,40,0,0,25,74
30,58,15,13,42,59,79,77,19,7688,0,50,74
29,58,10,9,45,62,47,77,19,0,0,40,74
20,58,14,10,45,50,52,77,40,0,0,35,74
32,58,13,11,42,59,30,77,40,7298,0,42,74
60,58,10,9,42,39,30,77,40,7688,0,40,74
52,58,6,5,43,39,47,3,19,0,0,30,7
74,68,14,10,66,62,47,77,40,0,0,16,74
35,64,16,14,42,62,30,77,40,0,0,45,44
56,65,12,12,42,17,79,77,19,0,0,40,74
36,38,10,9,45,0,47,77,40,0,0,40,74
55,64,15,13,42,62,30,77,40,0,0,60,74
43,58,15,13,11,70,52,77,40,0,0,40,74
27,58,15,13,42,62,30,77,40,0,0,45,74
52,58,13,11,42,16,30,77,40,0,0,40,74
42,58,10,9,42,25,30,77,40,0,0,40,74
55,38,13,11,66,59,75,4,19,0,0,35,74
41,38,16,14,11,59,75,77,19,7430,0,36,74
42,68,10,9,42,72,30,1,40,0,0,40,74
42,58,16,14,11,59,47,77,19,2354,0,16,74
30,58,14,10,45,70,75,77,19,0,0,40,74
46,65,10,9,42,16,30,77,40,0,0,40,74
38,38,15,13,45,16,75,3,40,0,1741,40,76
36,58,10,9,42,9,30,77,40,3103,0,40,74
36,58,14,10,42,16,79,77,19,0,0,35,74
27,58,15,13,45,62,52,77,40,0,0,35,74
59,58,10,9,78,16,75,77,19,0,0,50,74
25,58,12,12,45,9,47,77,40,0,0,30,74
50,58,7,6,42,9,30,77,40,0,0,40,74
65,65,14,10,42,16,30,77,40,2290,0,40,74
22,58,13,11,45,50,49,77,19,0,0,40,44
35,65,12,12,42,9,30,77,40,0,0,40,74
22,58,10,9,45,50,47,77,19,0,0,25,74
37,58,16,14,42,16,30,77,40,0,1977,40,74
42,58,14,10,42,16,30,77,40,99999,0,55,74
23,58,14,10,45,62,52,3,19,0,0,40,74
40,18,16,14,45,70,47,77,19,0,0,40,74
23,58,14,10,45,50,49,77,19,0,0,25,74
56,18,14,10,42,0,30,3,40,0,0,40,37
29,58,14,10,45,50,47,4,19,0,0,30,35
41,68,10,9,45,72,47,77,19,14344,0,40,74
43,58,10,9,45,62,47,4,19,0,0,44,74
32,58,16,14,42,16,30,77,40,0,0,60,74
31,58,10,9,42,0,30,77,40,0,0,40,74
29,58,13,11,45,70,52,77,40,0,0,40,74
71,65,10,9,42,17,30,1,40,0,0,35,74
34,58,15,13,45,59,47,77,19,0,0,36,74
24,68,16,14,45,59,47,3,40,0,0,20,31
28,58,15,13,45,25,52,77,40,0,0,40,74
18,58,14,10,45,62,52,4,40,0,0,35,74
58,58,10,9,42,16,30,77,40,7688,0,40,74
58,58,5,4,45,25,47,77,19,0,0,33,74
39,18,10,9,42,0,30,4,40,0,1628,40,74
49,64,14,10,42,9,30,77,40,0,0,45,74
30,58,15,13,45,16,52,3,19,0,0,52,69
44,38,13,11,42,9,30,77,40,0,0,40,74
21,58,14,10,45,25,52,77,40,0,0,40,74
61,58,16,14,42,62,30,77,40,0,0,60,74
47,58,14,10,42,59,30,77,40,0,0,40,74
33,58,13,11,42,17,30,77,40,0,0,45,74
43,38,15,13,42,59,30,77,40,0,0,40,74
51,64,10,9,42,50,30,77,40,0,0,30,74
36,58,15,13,42,59,30,77,40,3103,0,45,74
19,65,14,10,45,50,52,77,19,0,0,22,74
42,68,10,9,45,60,47,77,40,0,0,40,74
42,18,15,13,42,59,30,77,40,0,0,40,74
27,58,10,9,42,25,30,77,40,0,0,40,74
26,58,15,13,45,62,47,77,19,0,0,40,74
35,38,16,14,45,59,52,4,19,0,0,40,74
70,64,14,10,42,16,30,77,40,0,0,30,74
27,58,14,10,45,0,52,77,19,0,0,40,74
53,58,8,7,42,25,30,4,40,0,0,40,74
30,68,10,9,42,60,30,77,40,0,0,40,74
33,18,12,12,45,0,75,4,19,0,0,40,74
39,65,14,10,45,9,47,3,40,0,0,30,74
32,58,10,9,42,16,30,77,40,0,1672,60,74
36,18,16,14,42,59,30,77,40,0,0,40,74
61,65,10,9,78,50,49,77,19,0,0,40,74
21,58,14,10,45,50,52,77,40,0,0,15,74
31,58,15,13,42,59,30,77,40,0,0,60,74
52,58,14,10,45,16,47,77,19,0,0,50,74
49,65,15,13,42,9,30,77,40,0,0,50,74
22,58,10,9,45,0,52,4,19,0,0,38,74
34,58,8,7,42,39,30,77,40,0,0,40,74
58,58,12,12,42,16,30,77,40,0,0,50,74
34,58,15,13,42,62,30,77,40,0,0,50,74
45,58,10,9,11,62,47,77,19,0,0,40,74
54,68,15,13,45,59,75,3,19,0,0,40,74
28,58,14,10,45,50,47,4,40,0,0,40,74
38,58,14,10,42,62,30,77,40,7298,0,40,74
37,58,15,13,42,50,30,3,40,0,0,30,7
31,38,15,13,45,9,47,77,40,8614,0,40,74
79,64,15,13,42,62,30,77,40,0,0,20,74
54,68,13,11,42,60,30,77,40,0,0,40,74
56,58,15,13,78,50,47,77,19,0,0,40,74
28,58,14,10,42,50,30,77,40,0,0,35,74
40,65,14,10,42,59,79,77,19,0,0,40,74
24,58,8,7,45,17,75,77,40,2463,0,40,74
20,58,10,9,45,72,52,77,40,0,0,30,74
21,58,10,9,45,17,49,77,40,0,0,50,74
45,58,16,14,11,72,47,77,40,14344,0,48,74
42,65,15,13,42,9,30,77,40,15024,0,60,74
39,58,13,11,45,39,47,77,40,0,0,40,74
23,58,15,13,45,16,47,77,40,0,0,40,74
18,58,14,10,45,62,52,77,19,0,0,15,74
19,58,10,9,45,9,47,77,19,0,0,40,74
30,58,14,10,42,62,30,77,40,0,0,44,74
20,58,14,10,45,59,52,77,19,0,0,10,74
23,58,10,9,11,25,52,77,40,0,0,44,74
33,58,14,10,42,62,30,77,40,0,0,52,74
17,58,8,7,45,62,52,77,40,0,0,30,74
39,58,10,9,42,17,30,77,40,0,0,45,74
49,58,10,9,42,9,30,77,40,0,0,40,74
21,58,10,9,45,25,52,77,40,0,0,35,74
