age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
22,57,10,9,44,17,46,76,39,0,0,50,73
58,57,8,7,41,9,29,76,39,0,0,40,73
32,37,13,11,42,9,46,76,39,0,0,40,73
40,57,14,10,65,49,46,76,19,0,0,40,73
44,18,13,11,41,9,29,4,39,0,0,40,73
22,57,10,9,11,25,51,76,39,0,0,40,73
42,57,12,12,41,16,29,76,39,0,0,60,73
49,64,10,9,41,9,29,76,39,0,0,40,73
55,37,16,14,44,58,46,76,19,0,0,45,73
38,57,14,10,41,71,29,76,39,0,0,40,73
23,57,14,10,44,69,51,76,19,0,0,20,73
19,57,14,10,44,61,51,76,19,0,0,30,73
23,57,13,11,44,69,46,76,19,0,0,40,73
37,37,16,14,41,58,78,76,19,0,0,45,73
25,57,14,10,44,16,51,76,39,0,0,46,73
51,18,10,9,41,69,29,76,39,0,0,40,73
42,57,15,13,42,69,51,3,19,0,0,40,73
41,57,10,9,44,0,46,76,19,0,0,40,73
28,57,10,9,44,9,74,76,39,0,0,40,43
26,57,10,9,44,9,46,4,39,0,0,40,73
52,64,13,11,11,58,46,76,19,0,0,35,73
44,57,14,10,11,9,46,76,39,0,0,40,73
26,57,15,13,44,58,51,76,19,0,0,40,73
33,57,15,13,41,58,29,76,39,0,0,38,73
49,57,10,9,41,9,29,76,39,0,0,40,73
44,57,2,2,44,49,51,76,39,0,0,10,73
47,57,10,9,65,0,74,76,19,0,0,40,73
42,64,16,14,41,16,29,76,39,0,0,50,73
43,64,15,13,11,61,74,76,39,0,0,45,73
46,57,14,10,41,16,29,76,39,0,0,48,73
20,57,10,9,44,61,51,76,19,0,0,20,73
24,57,10,9,41,9,29,76,39,0,0,40,73
43,57,10,9,41,9,29,76,39,0,0,44,73
34,57,10,9,44,49,46,76,39,0,0,40,73
52,57,10,9,41,38,29,4,39,0,0,48,73
47,57,10,9,41,9,29,76,39,0,0,40,73
47,18,15,13,41,59,29,4,39,0,0,50,73
40,57,17,16,41,58,29,76,39,0,0,40,73
25,67,14,10,41,59,29,76,39,0,0,40,73
34,57,15,13,44,16,46,76,19,0,0,55,73
43,57,10,9,41,9,29,4,39,0,0,40,73
41,57,10,9,41,71,78,76,19,0,0,40,73
34,64,8,7,41,71,29,76,39,0,0,60,73
39,57,10,9,41,71,29,76,39,0,0,40,73
42,57,15,13,41,16,29,76,39,0,0,40,73
35,67,10,9,11,38,51,76,39,0,0,40,73
20,57,7,6,44,25,51,76,39,0,0,40,73
25,57,14,10,44,9,51,76,39,0,0,55,73
52,37,17,16,41,58,78,76,19,0,0,40,73
51,64,14,10,41,58,78,76,19,0,0,40,73
59,64,5,4,41,17,29,76,39,0,0,70,73
35,64,8,7,41,9,29,76,39,0,0,36,73
65,57,15,13,41,16,29,76,39,0,0,40,73
17,57,8,7,44,0,51,3,19,0,0,24,73
64,67,7,6,41,16,29,76,39,0,0,40,73
59,64,11,15,41,61,29,76,39,0,0,25,73
31,57,14,10,44,0,46,76,39,0,0,40,73
41,37,10,9,65,71,51,76,39,0,0,40,73
43,57,10,9,65,16,74,4,19,0,0,40,73
44,63,14,10,41,9,29,76,39,0,0,58,73
35,57,10,9,44,71,51,76,39,0,0,40,73
46,57,15,13,41,61,29,76,39,0,0,48,73
32,37,14,10,41,59,78,76,19,0,0,40,20
30,57,15,13,44,58,46,76,39,0,0,40,73
46,37,10,9,11,0,74,76,19,0,0,30,73
42,64,15,13,41,17,29,76,39,0,0,50,73
29,57,17,16,41,58,29,76,39,0,0,50,73
44,37,13,11,11,59,51,76,19,0,0,40,10
24,57,14,10,44,9,51,76,39,0,0,60,6
64,57,10,9,41,69,29,3,39,0,0,60,53
27,57,14,10,44,49,51,76,39,0,0,24,73
18,57,10,9,42,49,51,4,39,0,0,40,34
37,64,10,9,41,9,29,76,39,0,0,47,73
33,64,14,10,44,9,51,76,39,0,0,48,73
37,57,10,9,11,71,46,76,39,0,0,50,73
41,63,15,13,41,16,29,76,39,0,0,35,73
44,57,15,13,41,58,29,76,39,0,0,60,73
41,63,14,10,41,17,29,76,39,0,0,54,73
46,57,14,10,44,0,46,76,19,0,0,40,73
34,57,10,9,44,56,46,76,19,0,0,40,43
25,57,10,9,11,9,46,76,39,0,0,50,73
18,18,14,10,44,61,51,76,19,0,0,32,73
27,57,10,9,41,71,29,76,39,0,0,45,73
43,57,10,9,11,49,51,3,19,0,0,40,66
32,57,10,9,41,25,29,76,39,0,0,40,73
41,57,10,9,41,71,29,76,39,0,0,50,73
36,57,2,2,41,25,29,76,39,0,0,40,33
