age,workclass,education,education_num,marital_status,occupation,sex,hours_per_week
26,57,10,9,44,61,19,50
46,64,10,9,11,9,39,50
59,57,7,6,41,71,39,45
52,63,14,10,11,16,39,65
61,64,8,7,41,49,39,40
17,57,8,7,44,49,39,12
39,57,13,11,11,0,19,40
33,57,10,9,41,9,39,30
40,57,7,6,44,49,19,40
41,67,16,14,11,58,39,35
49,37,16,14,41,16,39,47
40,57,10,9,41,71,39,35
35,57,10,9,44,25,39,40
27,64,15,13,44,58,19,20
30,57,10,9,41,9,39,50
36,67,16,14,41,58,39,40
38,57,10,9,44,58,39,40
28,57,10,9,44,25,19,40
19,57,10,9,44,25,39,15
52,57,3,3,41,61,19,15
30,37,15,13,41,59,39,40
34,57,14,10,41,16,39,55
53,57,10,9,41,17,39,45
27,57,14,10,41,61,19,42
33,57,14,10,11,16,19,40
34,37,15,13,41,16,39,55
69,63,10,9,41,49,39,40
22,57,8,7,65,9,39,40
24,63,14,10,44,71,39,40
25,57,14,10,11,0,19,40
47,57,10,9,77,56,19,45
27,57,15,13,44,16,39,45
26,57,12,12,41,0,19,40
80,57,14,10,77,0,19,20
41,57,10,9,41,0,39,45
45,37,16,14,11,58,19,35
40,57,15,13,11,16,19,45
28,57,12,12,41,71,39,40
47,57,10,9,41,9,39,44
40,57,10,9,11,9,39,40
31,57,12,12,11,49,19,40
32,57,15,13,44,16,19,40
27,57,15,13,44,58,19,48
22,57,15,13,44,16,19,30
40,57,10,9,77,38,19,37
24,57,15,13,44,61,19,50
44,18,10,9,11,9,39,40
22,57,7,6,41,61,19,40
74,57,2,2,41,71,39,20
22,57,14,10,44,49,19,20
20,57,14,10,44,58,19,10
54,18,14,10,11,0,19,40
24,57,10,9,44,49,19,30
19,57,14,10,44,49,19,40
57,63,10,9,41,61,39,45
23,57,14,10,44,0,39,14
54,64,10,9,41,49,39,45
32,57,14,10,41,71,39,55
41,64,14,10,41,16,39,40
24,57,10,9,11,0,19,32
30,37,15,13,44,58,19,40
31,57,12,12,41,38,39,55
38,57,14,10,41,16,39,55
36,57,10,9,44,9,39,40
32,57,15,13,44,0,19,48
22,57,14,10,44,71,39,25
32,57,14,10,11,9,39,40
25,57,16,14,44,58,19,40
47,57,15,13,41,58,39,60
55,67,16,14,41,16,39,45
39,18,10,9,41,0,39,50
43,57,8,7,41,25,19,25
44,67,10,9,41,49,19,15
37,64,16,14,41,16,39,50
42,64,10,9,41,61,39,12
32,57,10,9,44,0,19,40
26,64,13,11,44,17,39,65
55,37,16,14,41,58,39,40
44,57,16,14,11,61,39,24
61,57,15,13,41,61,39,40
53,57,5,4,44,71,39,40
23,57,14,10,44,61,39,9
36,57,11,15,41,58,39,55
36,57,10,9,42,0,19,40
36,57,13,11,11,9,39,38
22,57,10,9,44,0,19,55
41,64,15,13,41,16,39,60
33,57,16,14,44,16,19,40
55,57,6,5,41,38,39,40
35,57,10,9,41,25,39,40
25,37,13,11,44,59,39,30
20,57,14,10,44,58,39,25
38,57,10,9,65,59,39,40
21,57,10,9,44,25,39,40
51,57,10,9,42,49,19,40
20,57,7,6,44,25,39,40
66,37,10,9,77,71,19,40
36,67,15,13,41,61,39,40
25,64,14,10,44,9,39,35
18,57,8,7,44,49,19,20
48,64,16,14,41,16,39,40
27,57,10,9,44,71,39,40
38,37,15,13,41,16,39,50
64,64,7,6,41,58,39,10
59,64,5,4,41,17,39,70
63,57,7,6,41,16,39,40
24,37,15,13,44,58,39,35
48,57,15,13,41,69,39,40
44,57,15,13,77,58,19,32
42,57,10,9,11,38,19,40
28,57,10,9,41,9,39,40
52,57,15,13,41,16,39,50
29,57,3,3,41,49,39,40
40,57,13,11,41,61,39,50
49,57,14,10,11,0,19,60
20,57,15,13,44,61,19,30
48,63,13,11,41,9,39,60
45,37,16,14,41,58,39,50
28,57,14,10,44,0,19,40
34,57,7,6,44,49,19,40
27,57,15,13,44,9,39,40
36,57,8,7,11,71,39,40
64,64,10,9,41,16,39,45
39,57,15,13,41,16,39,60
45,57,13,11,11,0,19,40
29,57,14,10,44,0,19,40
